t [s]	Ux [V]	Uy [V]
7,89742	-1,387919	0,006354
7,912737	-1,384095	0,008906
7,922737	-1,38537	0,006354
7,932737	-1,390468	0,003802
7,942737	-1,387919	0,006354
7,952737	-1,387919	0,006354
7,962737	-1,384095	0,006354
7,972737	-1,386645	0,008906
7,982737	-1,384095	0,006354
7,992737	-1,390468	0,006354
8,002737	-1,387919	0,006354
8,031792	-1,390468	0,003802
8,041792	-1,384095	0,010181
8,051792	-1,387919	0,006354
8,061792	-1,38537	0,010181
8,071792	-1,387919	0,002526
8,081792	-1,386645	0,008906
8,091792	-1,386645	0,005078
8,101792	-1,384095	0,006354
8,111792	-1,386645	0,002526
8,121792	-1,382821	0,006354
8,147318	-1,387919	0,006354
8,157318	-1,387919	0,006354
8,167318	-1,391743	0,006354
8,177318	-1,387919	0,002526
8,187318	-1,387919	0,005078
8,197318	-1,390468	0,006354
8,207318	-1,382821	0,010181
8,217318	-1,390468	0,002526
8,227318	-1,384095	0,00763
8,237318	-1,384095	0,010181
8,256147	-1,387919	0,006354
8,266147	-1,390468	0,003802
8,276147	-1,386645	0,006354
8,286147	-1,387919	0,006354
8,296147	-1,390468	0,006354
8,306147	-1,387919	0,003802
8,316147	-1,387919	0,008906
8,326147	-1,386645	0,006354
8,336147	-1,390468	0,006354
8,346147	-1,390468	0,006354
8,367454	-1,384095	0,010181
8,377454	-1,386645	0,006354
8,387454	-1,386645	0,002526
8,397454	-1,386645	0,008906
8,407454	-1,387919	0,002526
8,417454	-1,384095	0,005078
8,427454	-1,386645	0,008906
8,437454	-1,384095	0,006354
8,447454	-1,389194	0,005078
8,457454	-1,387919	0,003802
8,48758	-1,386645	0,006354
8,49758	-1,386645	0,003802
8,50758	-1,38537	0,006354
8,51758	-1,38537	0,006354
8,52758	-1,390468	0,002526
8,53758	-1,386645	0,006354
8,54758	-1,386645	0,00763
8,55758	-1,384095	0,008906
8,56758	-1,391743	0,002526
8,57758	-1,384095	0,003802
8,602761	-1,38537	0,010181
8,612761	-1,391743	0,006354
8,622761	-1,384095	0,006354
8,632761	-1,390468	0,006354
8,642761	-1,386645	0,008906
8,652761	-1,387919	0,006354
8,662761	-1,390468	0,006354
8,672761	-1,386645	0,002526
8,682761	-1,384095	0,006354
8,692761	-1,386645	0,003802
8,716191	-1,384095	0,010181
8,726191	-1,387919	0,005078
8,736191	-1,391743	0,002526
8,746191	-1,391743	0,006354
8,756191	-1,386645	0,006354
8,766191	-1,390468	0,006354
8,776191	-1,386645	0,006354
8,786191	-1,386645	0,00763
8,796191	-1,387919	0,006354
8,806191	-1,386645	0,005078
8,830675	-1,384095	0,010181
8,840675	-1,384095	0,006354
8,850675	-1,390468	0,005078
8,860675	-1,390468	0,006354
8,870675	-1,386645	0,006354
8,880675	-1,387919	0,002526
8,890675	-1,387919	0,003802
