T [s]	Ux [V]	Uy [V]
10,034414	-1,384095	0,003802
10,053769	-1,384095	0,006354
10,063769	-1,384095	0,006354
10,073769	-1,381546	0,006354
10,083769	-1,377723	0,008906
10,093769	-1,381546	0,006354
10,103769	-1,381546	0,008906
10,113769	-1,382821	0,006354
10,123769	-1,377723	0,006354
10,133769	-1,384095	0,003802
10,143769	-1,375174	0,002526
10,16607	-1,342035	0,006354
10,17607	-1,320368	0,006354
10,18607	-1,30125	0,003802
10,19607	-1,270661	0,003802
10,20607	-1,23115	0,006354
10,21607	-1,187815	0,010181
10,22607	-1,149579	0,002526
10,23607	-1,107519	0,008906
10,24607	-1,056537	0,003802
10,25607	-1,000457	0,005078
10,274923	-0,892121	0,00763
10,284923	-0,836041	0,006354
10,294923	-0,774863	0,006354
10,304923	-0,709861	0,003802
10,314923	-0,649957	0,005078
10,324923	-0,581132	0,002526
10,334923	-0,509757	0,003802
10,344923	-0,430735	0,006354
10,354923	-0,360635	0,008906
10,364923	-0,286712	0,005078
10,386937	-0,089157	0,005078
10,396937	-0,008861	0,003802
10,406937	0,076534	0,003802
10,416937	0,154281	0,003802
10,426937	0,233303	0,006354
10,436937	0,31105	0,002526
10,446937	0,392621	0,006354
10,456937	0,472918	0,002526
10,466937	0,562136	0,006354
10,476937	0,644981	0,008906
10,500398	0,819594	0,006354
10,510398	0,898616	0,010181
10,520398	0,975089	0,008906
10,530398	1,060483	0,008906
10,540398	1,133132	0,008906
10,550398	1,204507	0,002526
10,560398	1,282254	0,002526
10,570398	1,358727	0,00763
10,580398	1,433925	0,006354
10,590398	1,514222	0,006354
10,619222	1,737267	0,006354
10,629222	1,817564	0,010181
10,639222	1,894036	0,002526
10,649222	1,983255	0,005078
10,659222	2,062276	0,008906
10,669222	2,142573	0,008906
10,679222	2,212673	0,006354
10,689222	2,294244	0,006354
10,699222	2,370716	0,008906
10,709222	2,443366	0,006354
10,737724	2,64092	0,008906
10,747724	2,707197	0,006354
10,757724	2,763277	0,002526
10,767724	2,828278	0,003802
10,777724	2,888182	0,002526
10,787724	2,945537	0,002526
10,797724	3,001617	0,005078
10,807724	3,053873	0,003802
10,817724	3,108678	0,002526
10,827724	3,166033	0,006354
10,854638	3,308782	0,003802
10,864638	3,367411	0,002526
10,874638	3,422217	0,003802
10,884638	3,477022	0,002526
10,894638	3,542024	0,008906
10,904638	3,601928	0,002526
10,914638	3,669479	0,008906
10,924638	3,73448	0,008906
10,934638	3,788011	0,006354
10,944638	3,855562	0,002526
10,966163	4,004684	0,006354
10,976163	4,068411	0,006354
10,986163	4,134688	0,008906
10,996163	4,202239	0,006354
11,006163	4,262142	0,003802
11,016163	4,322046	0,008906
11,026163	4,383224	0,010181
11,036163	4,435481	0,003802
11,046163	4,482639	0,008906
11,056163	4,532346	0,006354
11,070226	4,583328	0,003802
11,080226	4,626663	0,008906
11,090226	4,653428	0,002526
11,100226	4,69039	0,002526
11,110226	4,727352	0,006354
11,120226	4,766863	0,006354
11,130226	4,80255	0,002526
11,140226	4,839512	0,00763
11,150226	4,882846	0,006354
11,160226	4,921083	0,010181
11,17883	4,991183	0,003802
11,18883	5,035792	0,008906
11,19883	5,079126	0,002526
11,20883	5,132657	0,005078
11,21883	5,18109	0,010181
11,22883	5,230797	0,002526
11,23883	5,281779	0,006354
11,24883	5,332761	0,003802
11,25883	5,381194	0,00763
11,26883	5,423254	0,003802
11,298799	5,564728	0,006354
11,308799	5,608063	0,003802
11,318799	5,655221	0,006354
11,328799	5,704928	0,005078
11,338799	5,739341	0,008906
11,348799	5,775028	0,006354
11,358799	5,815814	0,008906
11,368799	5,847677	0,006354
11,378799	5,884639	0,006354
11,388799	5,919052	0,008906
11,407621	5,989152	0,008906
11,417621	6,019741	0,003802
11,427621	6,056703	0,008906
11,437621	6,088567	0,006354
11,447621	6,12043	0,006354
11,457621	6,154843	0,008906
11,467621	6,187981	0,006354
11,477621	6,216021	0,006354
11,487621	6,251708	0,010181
11,497621	6,279748	0,002526
11,513049	6,332005	0,005078
11,523049	6,366418	0,006354
11,533049	6,397007	0,005078
11,543049	6,426321	0,003802
11,553049	6,465832	0,008906
11,563049	6,501519	0,006354
11,573049	6,538481	0,006354
11,583049	6,576718	0,010181
11,593049	6,61113	0,006354
11,603049	6,637896	0,006354
11,626109	6,719467	0,003802
11,636109	6,758978	0,008906
11,646109	6,797214	0,002526
11,656109	6,839274	0,008906
11,666109	6,876236	0,002526
11,676109	6,924669	0,006354
11,686109	6,974376	0,008906
11,696109	7,018985	0,003802
11,706109	7,069967	0,006354
11,716109	7,119674	0,008906
11,734347	7,198696	0,00763
11,744347	7,24458	0,006354
11,754347	7,28664	0,010181
11,764347	7,323601	0,002526
11,774347	7,363112	0,002526
11,784347	7,405172	0,008906
11,794347	7,447232	0,006354
11,804347	7,490567	0,006354
11,814347	7,530078	0,002526
11,824347	7,58106	0,006354
11,839282	7,648611	0,008906
11,849282	7,694494	0,008906
11,859282	7,739103	0,006354
11,869282	7,773516	0,006354
11,879282	7,807929	0,002526
11,889282	7,8194	0,002526
11,899282	7,829596	0,006354
11,909282	7,829596	0,006354
11,919282	7,83342	0,010181
11,929282	7,828322	0,005078
11,947038	7,829596	0,006354
11,957038	7,829596	0,006354
11,967038	7,832145	0,006354
11,977038	7,825772	0,006354
11,987038	7,830871	0,006354
11,997038	7,828322	0,006354
12,007038	7,829596	0,008906
12,017038	7,821949	0,005078
12,027038	7,820674	0,00763
12,037038	7,811752	0,00763
12,05706	7,768418	0,002526
12,06706	7,759496	0,008906
12,07706	7,722534	0,006354
12,08706	7,689396	0,006354
12,09706	7,648611	0,006354
12,10706	7,598903	0,003802
12,11706	7,55302	0,006354
12,12706	7,499489	0,006354
12,13706	7,449781	0,006354
12,14706	7,397525	0,006354
12,16952	7,289189	0,008906
12,17952	7,22801	0,008906
12,18952	7,159185	0,006354
12,19952	7,080163	0,00763
12,20952	6,998592	0,00763
12,21952	6,911923	0,008906
12,22952	6,82143	0,008906
12,23952	6,720741	0,006354
12,24952	6,62515	0,002526
12,25952	6,544854	0,002526
12,288947	6,329456	0,010181
12,298947	6,256807	0,006354
12,308947	6,203276	0,006354
12,318947	6,142097	0,002526
12,328947	6,083468	0,005078
12,338947	6,024839	0,006354
12,348947	5,957288	0,002526
12,358947	5,908856	0,008906
12,368947	5,851501	0,008906
12,378947	5,79797	0,006354
12,407302	5,661594	0,010181
12,417302	5,60169	0,002526
12,427302	5,558355	0,006354
12,437302	5,504825	0,003802
12,447302	5,460215	0,006354
12,457302	5,399037	0,002526
12,467302	5,351879	0,002526
12,477302	5,305995	0,008906
12,487302	5,248641	0,006354
12,497302	5,19511	0,006354
12,511386	5,114814	0,002526
12,521386	5,065106	0,008906
12,531386	5,009026	0,005078
12,541386	4,963143	0,005078
12,551386	4,903239	0,002526
12,561386	4,856081	0,006354
12,571386	4,808923	0,010181
12,581386	4,755392	0,00763
12,591386	4,705684	0,002526
12,601386	4,652153	0,006354
12,624216	4,529797	0,006354
12,634216	4,474992	0,003802
12,644216	4,418912	0,008906
12,654216	4,365381	0,002526
12,664216	4,313124	0,006354
12,674216	4,262142	0,008906
12,684216	4,206062	0,006354
12,694216	4,155081	0,003802
12,704216	4,104099	0,003802
12,714216	4,053117	0,006354
12,728669	3,971546	0,006354
12,738669	3,907819	0,003802
12,748669	3,851739	0,006354
12,758669	3,794384	0,00763
12,768669	3,754873	0,008906
12,778669	3,700068	0,006354
12,788669	3,649086	0,003802
12,798669	3,603202	0,006354
12,808669	3,561142	0,008906
12,818669	3,507611	0,006354
12,833965	3,433688	0,006354
12,843965	3,378882	0,006354
12,853965	3,316429	0,006354
12,863965	3,266722	0,006354
12,873965	3,206818	0,008906
12,883965	3,154562	0,001251
12,893965	3,102306	0,008906
12,903965	3,041128	0,003802
12,913965	2,990146	0,008906
12,923965	2,923869	0,005078
12,942355	2,804062	0,008906
12,952355	2,736511	0,006354
12,962355	2,671509	0,010181
12,972355	2,593762	0,00763
12,982355	2,537682	0,006354
12,992355	2,471406	0,003802
13,002355	2,410227	0,006354
13,012355	2,338853	0,002526
13,022355	2,281498	0,008906
13,032355	2,210124	0,006354
13,045901	2,119631	0,003802
13,055901	2,059727	0,008906
13,065901	1,994725	0,008906
13,075901	1,915704	0,002526
13,085901	1,851976	0,005078
13,095901	1,776778	0,006354
13,105901	1,707953	0,003802
13,115901	1,641676	0,003802
13,125901	1,572851	0,001251
13,135901	1,51932	0,003802
13,163281	1,37912	0,008906
13,173281	1,328138	0,006354
13,183281	1,28098	0,006354
13,193281	1,241469	0,008906
13,203281	1,198134	0,006354
13,213281	1,156074	0,006354
13,223281	1,114014	0,006354
13,233281	1,068131	0,006354
13,243281	1,0146	0,006354
13,253281	0,964892	0,008906
13,275892	0,834889	0,002526
13,285892	0,786456	0,010181
13,295892	0,736749	0,006354
13,305892	0,674296	0,006354
13,315892	0,627138	0,006354
13,325892	0,583803	0,003802
13,335892	0,543018	0,006354
13,345892	0,49586	0,002526
13,355892	0,463996	0,008906
13,365892	0,418112	0,002526
13,385141	0,335267	0,002526
13,395141	0,290658	0,006354
13,405141	0,242225	0,008906
13,415141	0,192518	0,002526
13,425141	0,146634	0,006354
13,435141	0,098201	0,003802
13,445141	0,057416	0,006354
13,455141	0,010258	0,006354
13,465141	-0,035626	0,006354
13,475141	-0,073862	0,00763
13,491656	-0,156708	0,002526
13,501656	-0,194944	0,006354
13,511656	-0,240828	0,002526
13,521656	-0,285437	0,002526
13,531656	-0,327497	0,010181
13,541656	-0,365733	0,002526
13,551656	-0,407793	0,006354
13,561656	-0,447304	0,006354
13,571656	-0,493188	0,003802
13,581656	-0,531424	0,006354
13,610517	-0,643584	0,003802
13,620517	-0,675448	0,008906
13,630517	-0,709861	0,003802
13,640517	-0,746823	0,010181
13,650517	-0,783784	0,005078
13,660517	-0,822021	0,006354
13,670517	-0,856434	0,005078
13,680517	-0,892121	0,006354
13,690517	-0,925259	0,005078
13,700517	-0,959672	0,002526
13,723865	-1,03487	0,002526
13,733865	-1,066734	0,005078
13,743865	-1,102421	0,00763
13,753865	-1,130461	0,008906
13,763865	-1,167423	0,006354
13,773865	-1,213306	0,006354
13,783865	-1,255366	0,006354
13,793865	-1,288505	0,003802
13,803865	-1,312721	0,006354
13,813865	-1,348408	0,002526
13,835989	-1,386645	0,002526
13,845989	-1,384095	0,008906
13,855989	-1,381546	0,006354
13,865989	-1,380272	0,006354
13,875989	-1,384095	0,010181
13,885989	-1,384095	0,002526
13,895989	-1,384095	0,006354
13,905989	-1,381546	0,010181
13,915989	-1,381546	0,010181
13,925989	-1,38537	0,006354
13,9561	-1,387919	0,002526
13,9661	-1,384095	0,006354
13,9761	-1,38537	0,006354
13,9861	-1,384095	0,008906
13,9961	-1,38537	0,010181
14,0061	-1,382821	0,008906
14,0161	-1,378997	0,003802
14,0261	-1,381546	0,005078
14,0361	-1,377723	0,006354
14,0461	-1,381546	0,003802
14,060977	-1,377723	0,008906
14,070977	-1,380272	0,003802
14,080977	-1,373899	0,003802
14,090977	-1,375174	0,002526
14,100977	-1,368801	0,002526
14,110977	-1,362428	0,006354
14,120977	-1,35733	0,003802
14,130977	-1,350957	0,006354
14,140977	-1,344585	0,006354
14,150977	-1,325466	0,003802
14,174811	-1,302525	0,006354
14,184811	-1,288505	0,006354
14,194811	-1,270661	0,002526
14,204811	-1,255366	0,006354
14,214811	-1,236248	0,002526
14,224811	-1,220954	0,008906
14,234811	-1,192914	0,002526
14,244811	-1,171246	0,006354
14,254811	-1,152128	0,006354
14,264811	-1,121539	0,006354
14,284147	-1,051439	0,010181
14,294147	-1,005555	0,006354
14,304147	-0,966044	0,006354
14,314147	-0,913788	0,00763
14,324147	-0,874277	0,006354
14,334147	-0,822021	0,002526
14,344147	-0,777412	0,006354
14,354147	-0,722606	0,006354
14,364147	-0,666526	0,006354
14,374147	-0,61427	0,006354
14,396595	-0,467697	0,008906
14,406595	-0,410342	0,006354
14,416595	-0,356812	0,006354
14,426595	-0,29181	0,006354
14,436595	-0,229357	0,006354
14,446595	-0,163081	0,008906
14,456595	-0,096804	0,005078
14,466595	-0,027979	0,00763
14,476595	0,03065	0,006354
14,486595	0,10075	0,002526
